name,category,source,monomer_unit,bond_type,molecular_weight_kda,solubility,biological_function
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",92.23,Soluble,Cell signaling
Gellan Gum,Bacterial,Bacteria,Glucose/Rhamnose/GlcA,Mixed,955.01,Soluble,Biofilm former
Agar,Algal,Red Algae,Galactose,Mixed,139.19,Soluble (Hot),Gelling agent
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",724.74,Insoluble,Structural support
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",871.52,Soluble,Modified structural
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",1812.71,Soluble,Carbon reserve
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",754.98,Soluble,Glucose reserve
Locust Bean Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",316.33,Soluble,Seed galactomannan
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",892.78,Soluble,Modified structural
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",104.03,Soluble,Cell signaling
Levan,Bacterial,Bacteria,Fructose,"Beta-2,6",1888.18,Soluble,Carbon reserve
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",70.72,Insoluble,Biofilm matrix
Starch,Storage,Plants,Glucose,"Alpha-1,4/1,6",525.88,Soluble,Energy storage
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",2079.26,Soluble,Lubrication/ECM
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",76.45,Soluble,Cell wall cementing
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3274.33,Soluble,Stabilizer
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",73.64,Soluble,Cell wall cementing
Carrageenan,Algal,Red Algae,Galactose,Mixed,459.67,Soluble,Cell wall support
Alginate,Algal,Brown Algae,Mannuronic/Guluronic,"Beta-1,4",204.15,Soluble,Structural/Protective
Cellulose,Structural,Plants,Glucose,"Beta-1,4",1045.95,Insoluble,Cell wall support
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",878.72,Soluble,Modified structural
Carrageenan,Algal,Red Algae,Galactose,Mixed,457.88,Soluble,Cell wall support
Dextran,Bacterial,Bacteria,Glucose,"Alpha-1,6",106.59,Soluble,Biofilm/Adhesion
Laminarin,Algal,Brown Algae,Glucose,"Beta-1,3",5.39,Soluble,Storage in algae
