name,category,molecular_weight_kda,degree_of_polymerization,branching_degree,crystallinity_percent,water_content_percent,viscosity_mPas,ph_stability_min,ph_stability_max,thermal_stability_celsius,solubility
Locust Bean Gum,Storage,269.03,24961,5.1,31.5,25.1,7305.3,2.7,7.7,131.9,Soluble
Glycogen,Storage,755.56,16170,21.6,49.7,51.3,22898.5,2.5,6.0,155.0,Soluble
Laminarin,Algal,4.76,21606,13.2,44.4,66.8,32555.3,4.4,7.8,204.8,Soluble
Welan Gum,Bacterial,1760.68,20600,5.3,41.9,28.9,36746.4,4.5,11.8,247.7,Soluble
Pectin,Structural,76.03,25761,11.0,84.6,20.0,49863.3,2.7,10.6,66.5,Soluble
Gellan Gum,Bacterial,984.65,46433,6.3,73.8,67.3,3467.2,5.4,10.8,221.5,Soluble
Heparin,Bioactive,15.8,15871,7.6,22.3,36.7,18855.8,3.8,9.6,199.7,Soluble
Cellulose Sulfate,Structural,952.51,45341,12.5,12.9,77.6,35084.7,5.2,9.6,279.5,Soluble
Chitin,Structural,775.31,43106,19.9,23.3,51.0,28165.4,4.6,9.9,292.0,Insoluble
Pectin,Structural,94.9,28220,3.2,17.9,21.7,37345.2,4.2,10.1,113.0,Soluble
Alginate,Algal,191.29,44545,17.7,50.0,30.9,1237.9,2.4,8.5,290.8,Soluble
Chitin,Structural,792.77,47861,4.3,35.0,39.1,10351.3,3.9,8.9,165.2,Insoluble
Welan Gum,Bacterial,1961.96,4412,9.0,74.8,13.6,42460.5,4.6,10.1,99.4,Soluble
Gellan Gum,Bacterial,897.57,11442,16.6,36.5,37.0,23108.1,5.2,9.8,104.7,Soluble
Scleroglucan,Fungal,1167.42,1923,22.1,80.6,38.7,21483.3,2.0,7.3,126.8,Soluble
Welan Gum,Bacterial,2246.98,4110,17.3,74.0,45.3,18296.0,2.8,6.7,221.0,Soluble
Guar Gum,Storage,222.44,41894,9.4,41.1,34.4,5720.5,3.4,8.7,101.4,Soluble
Scleroglucan,Fungal,1298.87,19503,27.6,57.2,55.4,15666.2,3.0,6.7,149.6,Soluble
Heparin,Bioactive,15.06,27419,17.9,56.0,36.7,24338.6,4.1,11.5,283.4,Soluble
Hyaluronic Acid,Bioactive,2043.93,32099,8.7,25.0,68.1,30974.3,5.5,11.7,176.3,Soluble
Xanthan Gum,Bacterial,3378.26,36813,15.2,49.6,56.4,20787.4,5.4,8.9,79.8,Soluble
Starch,Storage,559.18,14462,8.8,32.0,45.3,8418.8,3.8,10.5,243.8,Soluble
Cellulose Sulfate,Structural,954.11,37543,3.4,72.0,66.7,18349.4,5.3,6.2,232.6,Soluble
Cellulose Sulfate,Structural,843.05,27872,3.1,76.4,61.4,14892.5,6.0,8.7,143.7,Soluble
Glycogen,Storage,780.5,7703,23.3,29.0,65.8,29400.3,3.4,10.3,211.9,Soluble
Hyaluronic Acid,Bioactive,2092.92,13551,24.4,74.4,47.8,26618.7,4.4,7.0,295.0,Soluble
Dextran,Bacterial,91.57,17530,28.6,51.2,72.5,40760.9,2.5,10.5,158.8,Soluble
Cellulose,Structural,1196.99,42994,3.8,79.3,23.7,35572.6,5.3,10.6,222.3,Insoluble
Guar Gum,Storage,188.51,41455,8.1,43.1,38.9,31685.1,5.5,6.6,183.7,Soluble
Inulin,Storage,5.39,24197,13.6,49.0,48.6,43446.7,5.4,6.6,293.3,Soluble
Fucoidan,Algal,106.57,23486,25.5,73.7,34.8,48406.7,5.3,9.0,137.5,Soluble
Dextran,Bacterial,93.51,37885,3.9,78.2,64.1,44708.8,5.0,6.3,210.3,Soluble
