id,name,category,pdb_like_id,helix_type,repeat_unit_length_angstrom,chain_conformation,glycosidic_angle_phi,glycosidic_angle_psi,branch_points_per_100_residues,molecular_weight_kda,bond_type
PS-14205,Starch,Storage,B372,Random coil,7.98,4C1,-22.73,-20.36,14.7,530.61,"Alpha-1,4/1,6"
PS-16629,Chitin,Structural,O702,Random coil,11.0,4C1,49.67,-55.52,18.7,660.13,"Beta-1,4"
PS-81287,Agar,Algal,Y665,Single helix,12.85,Half-chair,30.87,42.95,15.8,141.7,Mixed
PS-51293,Starch,Storage,H783,Single helix,6.8,1C4,-54.92,13.27,12.5,536.94,"Alpha-1,4/1,6"
PS-94749,Dextran,Bacterial,T941,Random coil,14.15,Skew boat,34.0,3.5,12.3,93.37,"Alpha-1,6"
PS-36039,Glycogen,Storage,O704,Random coil,11.22,Skew boat,-14.13,6.79,7.3,782.89,"Alpha-1,4/1,6"
PS-23051,Carrageenan,Algal,E321,Random coil,6.44,4C1,-1.8,8.52,6.2,539.71,Mixed
PS-52247,Konjac Glucomannan,Storage,N287,Double helix,11.84,Half-chair,20.37,11.41,14.6,1098.87,"Beta-1,4"
PS-68467,Laminarin,Algal,Z115,Single helix,11.54,4H3,-40.18,-8.31,24.7,5.19,"Beta-1,3"
PS-38094,Starch,Storage,O152,Extended chain,8.53,Half-chair,41.31,-47.32,10.3,540.92,"Alpha-1,4/1,6"
PS-97209,Scleroglucan,Fungal,V128,Triple helix,4.14,Half-chair,53.25,35.9,5.9,1253.09,"Beta-1,3/1,6"
PS-90636,Konjac Glucomannan,Storage,S625,Extended chain,9.05,Half-chair,-6.17,-42.41,2.8,1114.24,"Beta-1,4"
PS-80451,Starch,Storage,Q740,Extended chain,14.57,Half-chair,-56.34,38.44,1.8,505.59,"Alpha-1,4/1,6"
PS-44083,Carrageenan,Algal,J647,Double helix,4.93,4C1,-5.85,45.62,8.9,501.58,Mixed
PS-84853,Agar,Algal,O619,Triple helix,8.25,4C1,4.69,-52.59,0.6,151.44,Mixed
PS-72168,Levan,Bacterial,K584,Single helix,12.95,1C4,41.05,-14.37,2.1,2045.93,"Beta-2,6"
PS-94928,Glycogen,Storage,V186,Double helix,9.13,Skew boat,20.92,10.85,19.8,819.18,"Alpha-1,4/1,6"
PS-83359,Levan,Bacterial,Q254,Random coil,11.71,Skew boat,9.43,59.89,23.3,1989.03,"Beta-2,6"
PS-16556,Fucoidan,Algal,I144,Extended chain,7.26,4C1,-28.96,34.86,19.8,98.16,"Alpha-1,2/1,3"
PS-65987,Alginate,Algal,B606,Extended chain,10.71,1C4,-1.5,20.9,20.2,202.55,"Beta-1,4"
PS-53687,Agar,Algal,X486,Triple helix,4.28,Skew boat,9.72,43.08,16.5,155.08,Mixed
PS-48384,Hyaluronic Acid,Bioactive,U146,Extended chain,14.11,4H3,40.21,-14.84,13.7,2105.77,"Beta-1,3"
PS-66270,Laminarin,Algal,A372,Random coil,9.14,1C4,-52.23,-58.61,14.0,4.52,"Beta-1,3"
PS-30946,Heparin,Bioactive,L693,Double helix,12.91,Skew boat,-26.97,5.61,0.0,16.68,"Alpha-1,4"
PS-39098,Konjac Glucomannan,Storage,I647,Random coil,9.39,Half-chair,-32.65,-55.07,10.9,1116.4,"Beta-1,4"
PS-72852,Carrageenan,Algal,E870,Extended chain,8.34,Half-chair,-51.82,-57.35,20.8,450.7,Mixed
PS-38108,Glycogen,Storage,D700,Double helix,7.29,Half-chair,16.81,-40.41,20.5,743.28,"Alpha-1,4/1,6"
PS-24150,Levan,Bacterial,H318,Random coil,11.64,4C1,-18.99,57.72,1.1,1882.17,"Beta-2,6"
PS-76983,Cellulose Sulfate,Structural,D510,Triple helix,12.36,4C1,49.2,-16.76,23.9,1007.11,"Beta-1,4"
PS-28958,Guar Gum,Storage,I227,Extended chain,4.17,4H3,18.03,44.77,17.4,208.05,"Beta-1,4"
PS-64577,Curdlan,Bacterial,M965,Single helix,8.64,Skew boat,47.59,51.76,1.6,74.28,"Beta-1,3"
PS-43907,Welan Gum,Bacterial,T651,Extended chain,12.04,4C1,5.6,54.77,18.2,2175.82,Mixed
PS-82240,Pullulan,Fungal,E199,Triple helix,3.96,4H3,-10.36,41.73,2.6,280.31,"Alpha-1,4/1,6"
PS-91598,Pectin,Structural,F503,Random coil,14.37,Half-chair,-9.34,19.58,15.4,87.97,"Alpha-1,4"
PS-86253,Welan Gum,Bacterial,M813,Extended chain,9.59,4H3,51.64,-14.26,7.8,2188.41,Mixed
PS-52903,Glycogen,Storage,K702,Triple helix,14.75,4C1,-46.72,13.64,18.1,834.47,"Alpha-1,4/1,6"
PS-72620,Cellulose,Structural,L352,Random coil,13.67,4C1,-17.85,-51.55,2.0,1043.86,"Beta-1,4"
PS-39762,Cellulose,Structural,T650,Extended chain,12.69,1C4,-9.45,-30.17,24.4,1035.43,"Beta-1,4"
PS-77458,Chitin,Structural,S366,Triple helix,7.47,4C1,-14.52,-59.08,0.6,726.22,"Beta-1,4"
PS-49470,Curdlan,Bacterial,Z239,Triple helix,9.36,Half-chair,-29.97,-54.37,23.0,82.86,"Beta-1,3"
PS-45910,Scleroglucan,Fungal,Z858,Extended chain,10.36,Skew boat,-0.3,-54.0,19.7,1131.49,"Beta-1,3/1,6"
PS-50729,Starch,Storage,K533,Triple helix,8.88,Skew boat,-19.21,47.1,14.3,533.9,"Alpha-1,4/1,6"
PS-51803,Dextran,Bacterial,H296,Extended chain,12.66,4C1,-8.98,-30.9,19.6,94.19,"Alpha-1,6"
PS-59972,Carrageenan,Algal,Z233,Double helix,12.25,4H3,24.07,-53.5,9.9,480.08,Mixed
PS-55485,Laminarin,Algal,H154,Single helix,11.34,Skew boat,-40.77,-37.59,4.4,4.75,"Beta-1,3"
PS-69234,Konjac Glucomannan,Storage,N589,Random coil,6.73,1C4,31.66,13.59,9.8,904.88,"Beta-1,4"
PS-46822,Hyaluronic Acid,Bioactive,W202,Single helix,7.47,Half-chair,37.83,-29.86,19.9,2066.92,"Beta-1,3"
PS-10802,Cellulose,Structural,Y649,Single helix,4.3,Half-chair,1.95,-12.47,17.8,1117.99,"Beta-1,4"
PS-35674,Heparin,Bioactive,C277,Extended chain,10.15,4H3,-6.71,34.27,0.3,16.09,"Alpha-1,4"
PS-27682,Pullulan,Fungal,W518,Triple helix,13.23,Skew boat,-50.86,27.65,23.0,267.85,"Alpha-1,4/1,6"
PS-42929,Locust Bean Gum,Storage,H853,Random coil,7.11,Skew boat,-18.51,10.65,9.6,328.79,"Beta-1,4"
PS-70450,Cellulose,Structural,R458,Double helix,7.42,4H3,53.76,-39.02,3.2,1041.22,"Beta-1,4"
PS-40482,Welan Gum,Bacterial,Q432,Triple helix,7.34,4H3,-54.34,21.1,10.7,1906.64,Mixed
PS-47382,Alginate,Algal,U578,Triple helix,11.88,1C4,41.46,-50.8,3.5,185.29,"Beta-1,4"
PS-68648,Welan Gum,Bacterial,J888,Extended chain,10.38,Skew boat,21.86,14.49,20.4,1800.74,Mixed
PS-62185,Pullulan,Fungal,Y311,Double helix,10.97,1C4,-1.29,-56.32,21.7,303.97,"Alpha-1,4/1,6"
PS-99795,Carrageenan,Algal,F939,Single helix,13.77,4H3,25.71,18.61,1.5,541.62,Mixed
PS-60728,Laminarin,Algal,H946,Single helix,6.06,1C4,-56.02,13.07,19.8,4.68,"Beta-1,3"
PS-81476,Gellan Gum,Bacterial,Q949,Double helix,6.2,1C4,-20.28,-32.46,7.6,888.58,Mixed
PS-93148,Welan Gum,Bacterial,X206,Extended chain,3.83,Skew boat,-7.14,0.62,12.9,1792.14,Mixed
PS-55264,Levan,Bacterial,F385,Triple helix,6.05,4H3,-28.6,-8.7,20.6,1860.93,"Beta-2,6"
