name,category,drug_class,administration_route,half_life_hours,bioavailability_percent,plasma_protein_binding_percent,volume_of_distribution_L_kg,clearance_ml_min_kg,ld50_mg_kg,adverse_effects,source
Glycogen,Storage,Anticoagulant,Topical,66.0,55.3,66.0,1.848,12.19,2657.0,Allergic reaction,Animals
Dextran,Bacterial,Prebiotic agent,Subcutaneous,17.0,39.8,28.9,3.873,6.3,8751.0,GI disturbance,Bacteria
Chitin,Structural,Antifungal,Oral,26.0,33.5,80.9,2.877,4.39,2965.0,None reported,Fungi/Exoskeletons
Xanthan Gum,Bacterial,Anticoagulant,Topical,17.0,53.5,12.7,1.016,10.83,4271.0,Minimal,Bacteria
Welan Gum,Bacterial,Immunosuppressant,IV,59.5,54.5,62.9,0.952,18.76,5179.0,None reported,Bacteria
Cellulose Sulfate,Structural,Antineoplastic,Inhalation,5.4,80.5,52.2,2.402,0.69,8289.0,Allergic reaction,Plants (Modified)
Hyaluronic Acid,Bioactive,Mucolytic,Transdermal,5.0,22.2,49.2,1.563,6.87,6643.0,GI disturbance,Animals/Bacteria
Gellan Gum,Bacterial,Immunosuppressant,Subcutaneous,58.6,79.5,14.4,2.584,17.34,3627.0,Allergic reaction,Bacteria
Xanthan Gum,Bacterial,Prebiotic agent,Topical,62.7,52.2,74.7,2.241,7.89,1710.0,Allergic reaction,Bacteria
Curdlan,Bacterial,Anti-inflammatory,Topical,16.6,82.3,22.0,3.043,5.51,3823.0,Allergic reaction,Bacteria
Inulin,Storage,Mucolytic,Oral,44.1,59.6,79.5,3.463,2.69,5369.0,None reported,Plants
Pectin,Structural,Antifungal,IV,41.8,55.5,30.6,4.659,14.32,1721.0,Minimal,Plants
Cellulose Sulfate,Structural,Hepatoprotective,Subcutaneous,47.9,32.6,35.3,3.27,8.1,7388.0,None reported,Plants (Modified)
Konjac Glucomannan,Storage,Antibacterial,Topical,44.8,94.2,83.9,3.095,9.43,3770.0,Bleeding risk,Plants
Cellulose Sulfate,Structural,Mucolytic,Subcutaneous,24.0,72.4,40.7,2.624,18.94,7445.0,None reported,Plants (Modified)
Cellulose,Structural,Antineoplastic,IV,5.6,75.8,50.7,2.717,13.38,6659.0,Minimal,Plants
Heparin,Bioactive,Prebiotic agent,Inhalation,39.1,65.7,89.8,2.287,2.1,242.0,GI disturbance,Animals
Konjac Glucomannan,Storage,Hepatoprotective,Inhalation,21.9,96.7,91.4,4.064,15.9,7969.0,Bleeding risk,Plants
Levan,Bacterial,Antifungal,IV,37.9,42.2,56.1,0.461,14.66,6418.0,Bleeding risk,Bacteria
Locust Bean Gum,Storage,Antibacterial,Topical,54.3,85.6,20.0,0.455,5.29,9862.0,Allergic reaction,Plants
