molecular_weight_kda,monomer_type,backbone_type,linkage_type,branching_category,source_kingdom,solubility_category,charge_character,sulfation_present,acetylation_present,is_heteropolymer,degree_of_polymerization_log,crystallinity_category,viscosity_category,known_medical_use,known_food_use,biodegradable,biocompatible,xcomplexity_norm,hb_acceptors,functional_category,data_source,citation_note
147.18,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.925,High,Low,0,1,1,1,0.245,39,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
160.14,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.27,High,Low,0,1,1,1,0.267,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
155.22,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.139,High,Low,0,1,1,1,0.259,41,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
152.22,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.059,High,Low,0,1,1,1,0.254,40,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
142.26,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.794,High,Low,0,1,1,1,0.237,37,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
140.06,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.735,High,Low,0,1,1,1,0.233,37,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
158.24,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.22,High,Low,0,1,1,1,0.264,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
152.28,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.061,High,Low,0,1,1,1,0.254,40,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
154.68,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.125,High,Low,0,1,1,1,0.258,41,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
139.21,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.712,High,Low,0,1,1,1,0.232,37,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
160.57,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.282,High,Low,0,1,1,1,0.268,42,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
157.48,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.199,High,Low,0,1,1,1,0.262,41,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
143.53,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.827,High,Low,0,1,1,1,0.239,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
142.84,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.809,High,Low,0,1,1,1,0.238,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
142.88,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.81,High,Low,0,1,1,1,0.238,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
145.6,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.883,High,Low,0,1,1,1,0.243,38,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
150.56,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,4.015,High,Low,0,1,1,1,0.251,40,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
148.47,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.959,High,Low,0,1,1,1,0.247,39,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
