molecule_chembl_id,pref_name,max_phase,molecule_type,first_approval,oral,therapeutic_flag,mw_freebase,alogp,hba,hbd,psa,rtb,full_mwt,molecular_formula,num_ro5_violations
CHEMBL1909064,LIPOPOLYSACCHARIDE E. COLI O55:B5,,Unknown,,False,False,,,,,,,,,
CHEMBL2108795,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP C,3.0,Vaccine component,,False,False,,,,,,,,,
CHEMBL2108822,TYPHOID VI POLYSACCHARIDE VACCINE,3.0,Vaccine component,,False,False,,,,,,,,,
CHEMBL2109142,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP A,3.0,Vaccine component,,False,False,,,,,,,,,
CHEMBL2109199,MUCOPOLYSACCHARIDE POLYSULFATE,3.0,Small molecule,,False,False,,,,,,,,,
CHEMBL4297977,HAEMOPHILUS INFLUENZAE TYPE B STRAIN 20752 CAPSULAR POLYSACCHARIDE TETANUS TOXOID CONJUGATE ANTIGEN,3.0,Vaccine component,,False,False,,,,,,,,,
CHEMBL4298071,HAEMOPHILUS INFLUENZAE TYPE B CAPSULAR POLYSACCHARIDE MENINGOCOCCAL OUTER MEMBRANE PROTEIN CONJUGATE ANTIGEN,3.0,Vaccine component,,False,False,,,,,,,,,
CHEMBL5095389,SALMONELLA TYPHI TY2 VI POLYSACCHARIDE ANTIGEN,3.0,Unknown,,False,False,,,,,,,,,
CHEMBL6068365,STREPTOCOCCUS PNEUMONIAE POLYSACCHARIDE CONJUGATED TO CORYNEBACTERIUM DIPHTHERIAE TOXOID,4.0,Vaccine component,2009,False,True,,,,,,,,,
CHEMBL6068366,STREPTOCOCCUS PNEUMONIAE POLYSACCHARIDE CONJUGATED TO TETANUS TOXOID,4.0,Vaccine component,2009,False,True,,,,,,,,,
CHEMBL6068367,STREPTOCOCCUS PNEUMONIAE POLYSACCHARIDE CONJUGATED TO HAEMOPHILUS INFLUENZAE PROTEIN D,4.0,Vaccine component,2009,False,True,,,,,,,,,
CHEMBL6068493,STREPTOCOCCUS PNEUMONIAE POLYSACCHARIDE CONJUGATED TO CORYNEBACTERIUM DIPHTHERIAE CRM197,4.0,Vaccine component,2001,False,True,,,,,,,,,
CHEMBL6068498,NEISSERIA MENINGITIDIS POLYSACCHARIDE CONJUGATED TO TETANUS TOXOID,4.0,Vaccine component,2012,False,True,,,,,,,,,
CHEMBL279011,AVERMECTIN B2 MONOSACCHARIDE,,Small molecule,,False,False,732.91,3.65,12,4,162.60,4,732.91,,2
CHEMBL14831,AVERMECTIN B1 MONOSACCHARIDE,,Small molecule,,False,False,714.89,4.45,11,3,142.37,4,714.89,,2
CHEMBL522692,NORTHERN MONOSACCHARIDE,,Small molecule,,False,False,528.73,3.94,8,3,106.84,10,528.73,,1
CHEMBL2029140,HEPARIN TRISACCHARIDE DEF,,Small molecule,,False,False,930.80,-8.55,24,12,497.20,18,930.80,,3
CHEMBL2304312,HEPARIN PENTASACCHARIDE DEFGH,,Unknown,,False,False,1508.27,,,,,,1508.27,,
CHEMBL4297391,DISACCHARIDE TRIPEPTIDE GLYCEROL DIPALMITOYL,2.0,Small molecule,,False,False,1317.66,,,,,,1317.66,,
CHEMBL6068368,NEISSERIA MENINGITIDIS OLIGOSACCHARIDE CONJUGATED TO CORYNEBACTERIUM DIPHTHERIAE CRM197,4.0,Vaccine component,2010,False,True,,,,,,,,,
CHEMBL5095284,ODETIGLUCAN,2.0,Oligosaccharide,,False,False,,,,,,,,,
CHEMBL3989763,ACEMANNAN,2.0,Oligosaccharide,,False,False,1692.49,,,,,,1692.49,,
CHEMBL4297959,KONJAC MANNAN,3.0,Unknown,,False,False,,,,,,,,,
CHEMBL6068411,OXYLANTHANUM CARBONATE,2.0,Small molecule,,False,False,369.82,,,,,,369.82,,
CHEMBL1201457,CELLULOSE SODIUM PHOSPHATE,4.0,Unknown,1982,True,False,,,,,,,,,
CHEMBL1201471,HYDROXYPROPYL CELLULOSE,4.0,Unknown,1982,False,False,,,,,,,,,
CHEMBL1201493,SIMETHICONE-CELLULOSE,4.0,Unknown,1998,True,False,,,,,,,,,
CHEMBL1909054,CARBOXYMETHYLCELLULOSE,,Unknown,,False,False,,,,,,,,,
CHEMBL2108104,ETHYLCELLULOSE,2.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108179,CARBOXYMETHYLCELLULOSE SODIUM 12,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108268,"CELLULOSE, OXIDIZED",-1.0,Unknown,,False,True,,,,,,,,,
CHEMBL2108503,HYDROXYPROPYL METHYLCELLULOSE PHTHALATE 220824,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108580,"CARBOXYMETHYLCELLULOSE SODIUM, LOW-SUBSTITUTED",-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108636,PSYLLIUM HEMICELLULOSE,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2109000,CARBOXYMETHYLCELLULOSE CALCIUM,2.0,Unknown,,False,False,,,,,,,,,
CHEMBL2109001,CARBOXYMETHYLCELLULOSE SODIUM,3.0,Unknown,,False,True,,,,,,,,,
CHEMBL2109008,CELLULOSE ACETATE,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2109010,"CELLULOSE, OXIDIZED REGENERATED",-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2109076,HYDROXYETHYL CELLULOSE,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2109077,HYDROXYPROPYL METHYLCELLULOSE 1828,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2109078,HYDROXYPROPYL METHYLCELLULOSE PHTHALATE 200731,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2109198,METHYLCELLULOSE,2.0,Unknown,,False,True,,,,,,,,,
CHEMBL4297557,MICROCRYSTALLINE CELLULOSE,3.0,Unknown,,False,False,,,,,,,,,
CHEMBL4297924,POWDERED CELLULOSE,3.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108007,"STARCH, RICE",-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108008,SODIUM STARCH GLYCOLATE,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108010,STARCH GLYCERITE,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108011,"STARCH, PREGELATINIZED",-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108052,"STARCH, CORN",3.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108053,"STARCH, TAPIOCA",-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108122,PENTASTARCH,-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108448,HETASTARCH,3.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108645,"STARCH, MODIFIED",-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108646,"STARCH, POTATO",-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108647,"STARCH, PREGELATINIZED MODIFIED",-1.0,Unknown,,False,False,,,,,,,,,
CHEMBL2108648,"STARCH, WHEAT",-1.0,Unknown,,False,False,,,,,,,,,
