polysaccharide_name,pubchem_cid,synonyms,molecular_weight,molecular_formula,iupac_name,xlogp,complexity,functional_category,source,curation_note
Cellulose,16211032,"Diethylaminoethyl cellulose|DEAE Cellulose|(5S)-6-(hydroxymethyl)-5-(((2S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy)oxane-2,3,4-triol|(5S)-6-(hydroxymethyl)-5-{[(2S)-3,4,5-trihydroxy-6-(hydroxy",342.30,C12H22O11,"(6S)-2-(hydroxymethyl)-6-[(3S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",-4.7,382,Structural,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Starch,46173754,SCHEMBL23928004|3-Hydroxyisopentyl-CoA; (Acyl-CoA); [M+H]+;,853.7,C26H46N7O17P3S,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3-hydroxy-4-[[3-[2-(3-hydroxy-3-methylbutyl)sulfanylethylamino]-3-oxopropyl]amino]-2,2-dimethyl-4-",-5.1,1420,Storage,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Chitin,5819,thyroxine|thyroxin|L Thyroxin beta|L Thyrox|L Thyroxine Roche,776.87,C15H11I4NO4,"(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",2.4,420,Structural,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Chitosan,71853,C56H103N9O39|Chitosan from shrimp shells|Chitosan - Non-animal origin|SCHEMBL972215|orb1307654,1526.5,C56H103N9O39,"methyl N-[(2S,3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-5-[(2S,3R,4R,5S,6R)-3-amino-4,5-d",-21.4,2630,Structural,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Heparin,772,DTXSID80872762|2-o-sulfohexopyranuronosyl-(1->4)-2-deoxy-3-o-sulfo-2-(sulfoamino)hexopyranosyl-(1->4)-2-o-sulfohexopyranuronosyl-(1->4)-2-acetamido-2-deoxy-6-o-sulfohexopyranose|RefChem:935558|GlyTouC,1134.9,C26H42N2O37S5,"6-[6-[6-[5-acetamido-4,6-dihydroxy-2-(sulfooxymethyl)oxan-3-yl]oxy-2-carboxy-4-hydroxy-5-sulfooxyoxan-3-yl]oxy-2-(hydroxymethyl)-5-(sulfoamino)-4-sulfooxyoxan-3-yl]oxy-3,4-dihydroxy-5-sulfooxyoxane-2-",-10.8,2410,Bioactive,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Hyaluronic Acid,53477508,,909.7,C29H50N7O18P3S,"S-[2-[3-[[(2R)-4-[[[(2R,3R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] ",-4,1520,Bioactive,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Pectin,441476,"(2S,3R,4S,5R,6R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid|Pectins|89NA02M4RX|CHEBI:17309|methoxylpectin",194.14,C6H10O7,"(2S,3R,4S,5R,6R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",-2.3,205,Storage,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Agar,72565654,,715.9,C53H37N3,N-naphthalen-1-yl-N-phenyl-6-[2-[6-[2-(1-phenylbenzimidazol-2-yl)ethenyl]naphthalen-2-yl]ethenyl]naphthalen-2-amine,14.7,1290,Algal,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Dextran,56842174,"1324-57-8|EINECS 215-382-6|Disodium dichlorobenzo(rst)phenanthro(10,1,2-cde)pentaphene-9,18-diyl disulphate|DTXSID20157520|Disodium dichlorobenzo[rst]phenanthro[10,1,2-cde]pentaphene-9,18-diyl disulph",731.5,C34H14Cl2Na2O8S2,"disodium;(9,10-dichloro-27-sulfonatooxy-12-nonacyclo[18.10.2.22,5.03,16.04,13.06,11.017,31.021,26.028,32]tetratriaconta-1(31),2,4(13),5,7,9,11,14,16,18,20(32),21,23,25,27,29,33-heptadecaenyl) sulfate",,1390,Bacterial,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
Inulin,24763,RefChem:976867|GlyTouCan:G35236GY|G35236GY|EINECS 232-684-3|Inulin [USP:BAN],6179,C228H382O191,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[",-70.2,12900,Storage,PubChem BioAssay/Compound,Category derived from peer-reviewed literature; not model-predicted.
