target_name,target_chembl_id,molecule_chembl_id,pref_name,standard_type,standard_value,standard_units,assay_type,assay_description,document_year
glucan synthase,CHEMBL2037,CHEMBL396608,,IC50,15000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL438668,,IC50,41000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL396607,,IC50,49000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL412243,,IC50,48000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254586,,IC50,53000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254587,,IC50,81000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254665,,IC50,65000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254666,,IC50,63000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254748,,IC50,22000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254749,,IC50,84000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254833,,IC50,66000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254834,,IC50,64000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1253514,,IC50,52000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1254920,,IC50,37000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1255007,,IC50,58000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL284616,CHLOROGENIC ACID,IC50,90000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL1253515,ACULEACIN A,IC50,8000.0,nM,B,"Inhibition of Candida albicans 1,3 beta-D-glucan synthase",2010
glucan synthase,CHEMBL2037,CHEMBL264241,ANIDULAFUNGIN,IC50,0.00183,ug.mL-1,B,Inhibition of Candida albicans ATCC 90028 glucan synthase at monophasic kinetics,2008
glucan synthase,CHEMBL2037,CHEMBL1630575,CASPOFUNGIN,IC50,0.0005,ug.mL-1,B,Inhibition of Candida albicans ATCC 90028 glucan synthase at monophasic kinetics,2008
glucan synthase,CHEMBL2037,CHEMBL457547,MICAFUNGIN,IC50,0.0188,ug.mL-1,B,Inhibition of Candida albicans ATCC 90028 glucan synthase at monophasic kinetics,2008
glucan synthase,CHEMBL2037,CHEMBL1684743,,IC50,0.12,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684740,,IC50,0.18,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684882,,IC50,0.2,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684891,,IC50,0.25,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684892,,IC50,0.26,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684895,,IC50,0.42,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684889,,IC50,0.52,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684739,,IC50,0.53,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684881,,IC50,0.59,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684898,,IC50,0.6,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
glucan synthase,CHEMBL2037,CHEMBL1684890,,IC50,0.62,ug.mL-1,B,"Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase",2011
