carbohydrate_class,subtype,example,monomer_backbone,degree_of_polymerization,molecular_weight_kda,reducing_end,category
Disaccharide,Reducing,Raffinose,Galactose,5002,9.1927,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Ribose,Galactose,4566,2.012,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Ribose,Mixed,5427,5.1431,Yes,Simple_Carbohydrate
Monosaccharide,Pentose,Sucrose,Galactose,628,5.8478,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Gellan Gum,Mannose,9934,2361.42,Yes,Bacterial
Disaccharide,Non-reducing,Glucose,Glucose,8520,7.117,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Glucose,Galactose,5145,9.4939,Yes,Simple_Carbohydrate
Oligosaccharide,Galactooligosaccharide,Ribose,Mannose,4846,4.1431,Yes,Simple_Carbohydrate
Disaccharide,Non-reducing,Ribose,Fructose,9326,9.4096,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Dextran,Mannose,9504,867.87,No,Bacterial
Polysaccharide,Heteropolysaccharide,Scleroglucan,Mannose,2782,648.97,Yes,Bioactive
Oligosaccharide,Fructooligosaccharide,Raffinose,Fructose,5087,9.5248,Yes,Simple_Carbohydrate
Disaccharide,Reducing,Glucose,Mannose,1195,0.5575,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Welan Gum,Mannose,6549,2092.1,Yes,Structural
Monosaccharide,Hexose,Raffinose,Fructose,8488,4.3089,No,Simple_Carbohydrate
Monosaccharide,Hexose,Raffinose,Fructose,7614,1.3015,No,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Cellulose Sulfate,Fructose,7779,1343.28,No,Bioactive
Disaccharide,Non-reducing,Raffinose,Mannose,3921,7.799,No,Simple_Carbohydrate
Polysaccharide,Homopolysaccharide,Welan Gum,Galactose,5504,864.33,No,Algal
Monosaccharide,Hexose,Sucrose,Fructose,3507,2.3895,Yes,Simple_Carbohydrate
Polysaccharide,Heteropolysaccharide,Pectin,Mannose,1022,1632.41,Yes,Bacterial
Polysaccharide,Homopolysaccharide,Konjac Glucomannan,Mannose,98,1731.31,No,Bioactive
Polysaccharide,Heteropolysaccharide,Cellulose Sulfate,Mixed,9885,2245.07,Yes,Bacterial
