name,category,bioactivity,ic50_ug_ml,minimum_inhibitory_concentration_ug_ml,in_vitro_tested,in_vivo_tested,mechanism,source_organism
Guar Gum,Storage,Antibacterial,411.42,302.34,No,No,Radical scavenging,Plants
Gellan Gum,Bacterial,Prebiotic,112.34,791.32,Yes,No,Enzyme inhibition,Bacteria
Fucoidan,Algal,Prebiotic,62.18,666.08,No,No,Receptor binding,Brown Algae
Guar Gum,Storage,Antitumor,14.32,764.84,No,Yes,Radical scavenging,Plants
Gellan Gum,Bacterial,Anticoagulant,290.57,565.79,No,No,Unknown,Bacteria
Chitin,Structural,Anticoagulant,256.31,575.48,No,Yes,Radical scavenging,Fungi/Exoskeletons
Cellulose,Structural,Antiviral,159.91,878.38,Yes,No,Receptor binding,Plants
Cellulose,Structural,Immunostimulant,180.65,636.43,No,Yes,Enzyme inhibition,Plants
Dextran,Bacterial,Anti-inflammatory,319.51,77.29,Yes,Yes,Cell wall disruption,Bacteria
Laminarin,Algal,Antiviral,271.9,872.51,No,No,Unknown,Brown Algae
Welan Gum,Bacterial,Anticoagulant,48.01,580.26,Yes,Yes,Receptor binding,Bacteria
Locust Bean Gum,Storage,Immunostimulant,186.57,485.16,No,Yes,Cell wall disruption,Plants
Xanthan Gum,Bacterial,Antiviral,251.74,831.66,Yes,No,Immune modulation,Bacteria
Glycogen,Storage,Antifungal,409.44,923.45,No,No,Enzyme inhibition,Animals
Welan Gum,Bacterial,Anticoagulant,69.59,442.22,No,Yes,Unknown,Bacteria
Dextran,Bacterial,Antibacterial,372.26,119.04,Yes,Yes,Unknown,Bacteria
Agar,Algal,Immunostimulant,62.76,130.65,Yes,No,Unknown,Red Algae
Konjac Glucomannan,Storage,Antifungal,38.96,774.8,No,Yes,Receptor binding,Plants
Chitin,Structural,Antibacterial,396.55,513.72,Yes,No,Cell wall disruption,Fungi/Exoskeletons
Inulin,Storage,Antibacterial,33.22,667.75,Yes,Yes,Radical scavenging,Plants
Xanthan Gum,Bacterial,Hepatoprotective,450.6,185.19,No,Yes,Cell wall disruption,Bacteria
Heparin,Bioactive,Immunostimulant,474.4,348.16,Yes,Yes,Radical scavenging,Animals
Curdlan,Bacterial,Antifungal,49.64,578.34,Yes,Yes,Unknown,Bacteria
Xanthan Gum,Bacterial,Immunostimulant,85.97,754.14,Yes,Yes,Receptor binding,Bacteria
Locust Bean Gum,Storage,Prebiotic,183.29,589.59,No,Yes,Receptor binding,Plants
Alginate,Algal,Antioxidant,212.1,514.49,No,Yes,Enzyme inhibition,Brown Algae
Chitin,Structural,Prebiotic,55.25,136.34,No,No,Radical scavenging,Fungi/Exoskeletons
Gellan Gum,Bacterial,Antibacterial,41.22,493.97,No,No,Immune modulation,Bacteria
Laminarin,Algal,Immunostimulant,343.55,841.17,Yes,No,Enzyme inhibition,Brown Algae
Levan,Bacterial,Antitumor,428.4,894.81,No,No,Receptor binding,Bacteria
Starch,Storage,Prebiotic,336.08,396.67,Yes,Yes,Receptor binding,Plants
Carrageenan,Algal,Antioxidant,347.55,977.58,Yes,Yes,Enzyme inhibition,Red Algae
Xanthan Gum,Bacterial,Anticoagulant,100.21,844.11,No,Yes,Receptor binding,Bacteria
Levan,Bacterial,Prebiotic,139.33,713.64,No,No,Enzyme inhibition,Bacteria
Guar Gum,Storage,Hepatoprotective,475.07,987.53,No,Yes,Immune modulation,Plants
Chitin,Structural,Antifungal,125.42,497.53,Yes,Yes,Cell wall disruption,Fungi/Exoskeletons
Gellan Gum,Bacterial,Antibacterial,415.17,498.39,Yes,Yes,Immune modulation,Bacteria
Laminarin,Algal,Anticoagulant,76.45,622.16,Yes,Yes,Unknown,Brown Algae
Konjac Glucomannan,Storage,Anti-inflammatory,383.81,792.84,Yes,No,Unknown,Plants
Guar Gum,Storage,Prebiotic,252.45,542.67,Yes,Yes,Immune modulation,Plants
Chitin,Structural,Antioxidant,225.11,852.95,No,No,Cell wall disruption,Fungi/Exoskeletons
