name,category,primary_monomer,secondary_monomer,bond_type,glycosidic_linkage,molecular_formula_repeat,degree_of_acetylation,degree_of_sulfation,carbon_content_percent,hydrogen_content_percent,oxygen_content_percent,molecular_weight_kda
Levan,Bacterial,Fructose,None,"Beta-2,6",Mixed,C6H9O7Na,22.9,0.79,49.0,8.3,48.7,1883.74
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,4",C6H9O7Na,45.0,1.28,40.9,6.7,52.6,971.22
Levan,Bacterial,Fructose,None,"Beta-2,6","1,4",C6H11O6,97.5,2.3,35.3,7.8,47.1,2130.0
Dextran,Bacterial,Glucose,None,"Alpha-1,6",Mixed,C6H9O7Na,2.4,1.28,40.7,7.2,52.4,108.92
Laminarin,Algal,Glucose,None,"Beta-1,3","2,1",C8H15NO6,85.6,0.32,38.6,6.3,49.8,5.33
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","1,2",C8H15NO6,68.8,2.73,42.3,6.1,51.1,211.75
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","1,2",C6H9O7Na,27.6,1.11,48.9,5.4,46.3,752.46
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4",Mixed,C8H15NO6,82.4,2.62,43.8,7.3,50.6,78.52
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","2,1",C6H9O7Na,55.7,2.45,45.3,5.6,52.7,88.9
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,6",C6H9O7Na,95.7,1.08,46.6,8.0,47.1,1892.76
Agar,Algal,Galactose,None,Mixed,"1,6",C6H9O7Na,33.3,2.03,45.6,6.0,52.5,128.54
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","2,6",C8H15NO6,42.7,2.42,47.0,8.3,45.6,802.83
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","1,2",C8H15NO6,99.6,2.88,48.1,6.3,50.4,186.96
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","2,6",C6H10O5,73.4,1.7,49.6,8.1,50.3,87.17
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","2,1",C8H15NO6,61.0,2.98,46.3,8.1,49.3,746.45
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6","2,6",C6H11O6,65.0,0.22,44.7,6.4,50.3,317.33
Levan,Bacterial,Fructose,None,"Beta-2,6","1,2",C8H15NO6,57.5,0.02,47.4,5.1,47.3,1956.29
Inulin,Storage,Fructose,None,"Beta-2,1",Mixed,C6H11O6,58.4,2.3,43.0,7.6,47.0,5.48
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","2,6",C6H11O6,18.9,0.44,39.6,5.4,50.3,226.67
Cellulose,Structural,Glucose,None,"Beta-1,4",Mixed,C6H11O6,54.0,2.86,39.9,6.3,47.3,912.64
Dextran,Bacterial,Glucose,None,"Alpha-1,6","1,3",C8H15NO6,99.1,0.7,48.8,8.1,45.3,111.33
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6","1,2",C8H15NO6,2.5,2.6,47.8,5.8,45.5,294.47
