name,category,scientific_name,common_name,plant_part,yield_percent,extraction_method,molecular_weight_kda,solubility,geographic_origin
Cellulose Sulfate,Structural,Manihot esculenta,Cassava,Root,2.36,Water extraction,900.83,Soluble,Americas
Pectin,Structural,Manihot esculenta,Cassava,Exudate,25.75,Ethanol precipitation,84.78,Soluble,Oceania
Konjac Glucomannan,Storage,Triticum aestivum,Wheat,Exudate,0.6,Water extraction,965.48,Soluble,Oceania
Locust Bean Gum,Storage,Plantago ovata,Psyllium,Root,14.69,Alkaline extraction,285.72,Soluble,Americas
Guar Gum,Storage,Plantago ovata,Psyllium,Bark,17.79,Acid hydrolysis,227.47,Soluble,Oceania
Locust Bean Gum,Storage,Ceratonia siliqua,Locust Bean,Stem,11.71,Ethanol precipitation,291.17,Soluble,Europe
Starch,Storage,Aloe vera,Aloe,Fruit,11.03,Alkaline extraction,503.25,Soluble,Africa
Cellulose Sulfate,Structural,Oryza sativa,Rice,Exudate,0.98,Water extraction,874.61,Soluble,Europe
Cellulose Sulfate,Structural,Oryza sativa,Rice,Root,6.55,Acid hydrolysis,956.65,Soluble,Asia
Konjac Glucomannan,Storage,Zea mays,Corn,Leaf,7.01,Alkaline extraction,943.69,Soluble,Asia
Guar Gum,Storage,Solanum tuberosum,Potato,Root,27.59,Acid hydrolysis,203.29,Soluble,Americas
Konjac Glucomannan,Storage,Ceratonia siliqua,Locust Bean,Seed,3.26,Alkaline extraction,1022.35,Soluble,Asia
Pectin,Structural,Manihot esculenta,Cassava,Root,14.54,Enzymatic,80.66,Soluble,Asia
Pectin,Structural,Cichorium intybus,Chicory,Rhizome,26.68,Water extraction,73.42,Soluble,Oceania
Guar Gum,Storage,Oryza sativa,Rice,Root,13.1,Enzymatic,239.12,Soluble,Africa
Inulin,Storage,Cyamopsis tetragonoloba,Guar,Root,22.3,Ethanol precipitation,4.52,Soluble,Americas
Inulin,Storage,Oryza sativa,Rice,Leaf,7.41,Water extraction,5.23,Soluble,Europe
Pectin,Structural,Oryza sativa,Rice,Leaf,9.2,Water extraction,82.59,Soluble,Europe
Inulin,Storage,Ceratonia siliqua,Locust Bean,Root,3.98,Alkaline extraction,4.87,Soluble,Americas
Inulin,Storage,Plantago ovata,Psyllium,Stem,25.09,Alkaline extraction,4.97,Soluble,Asia
Locust Bean Gum,Storage,Triticum aestivum,Wheat,Root,16.22,Acid hydrolysis,285.73,Soluble,Europe
Cellulose,Structural,Oryza sativa,Rice,Leaf,12.74,Acid hydrolysis,945.85,Insoluble,Europe
Locust Bean Gum,Storage,Manihot esculenta,Cassava,Tuber,5.14,Ethanol precipitation,312.04,Soluble,Oceania
Konjac Glucomannan,Storage,Oryza sativa,Rice,Rhizome,5.58,Acid hydrolysis,955.84,Soluble,Americas
Pectin,Structural,Ceratonia siliqua,Locust Bean,Root,6.29,Enzymatic,78.01,Soluble,Oceania
Cellulose,Structural,Cichorium intybus,Chicory,Stem,24.0,Alkaline extraction,1080.17,Insoluble,Europe
Cellulose,Structural,Cyamopsis tetragonoloba,Guar,Exudate,14.64,Ethanol precipitation,1042.49,Insoluble,Europe
Inulin,Storage,Solanum tuberosum,Potato,Exudate,26.34,Alkaline extraction,4.74,Soluble,Asia
Cellulose,Structural,Cyamopsis tetragonoloba,Guar,Seed,16.4,Water extraction,967.82,Insoluble,Oceania
